Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",65.550000,-119.856249,180.000000,top
"C2","100n","C_0603_1608Metric",65.550000,-125.856249,180.000000,top
"C3","100n","C_0603_1608Metric",69.050000,-122.856249,0.000000,top
"C4","100n","C_0603_1608Metric",73.300000,-123.606249,0.000000,top
"C5","100n","C_0603_1608Metric",76.550000,-124.606249,90.000000,top
"D1","LED","LED_0805_2012Metric",73.050000,-125.606249,180.000000,top
"D2","D","D_0805_2012Metric",73.050000,-127.856249,180.000000,top
"R1","1k","R_0603_1608Metric",65.550000,-128.106249,180.000000,top
"R2","1k","R_0603_1608Metric",84.300000,-123.856249,180.000000,top
"R3","1k","R_0603_1608Metric",69.050000,-128.106249,0.000000,top
"R4","1k","R_0603_1608Metric",69.050000,-126.356249,0.000000,top
"R5","1k","R_0603_1608Metric",69.050000,-124.606249,0.000000,top
"R6","1k","R_0603_1608Metric",84.300000,-125.606249,0.000000,top
"R7","1k","R_0603_1608Metric",84.312742,-127.356249,0.000000,top
"U2","ESP-12F","ESP-12F",76.800000,-109.336249,0.000000,top
"U3","NC7ST04M5X","SOT-23-5",79.800000,-124.606249,180.000000,top
"U4","TLV73333PDBV","SOT-23-5",65.550000,-122.856249,-90.000000,top
